"Name","nlat","time","validation_loss"
"nlat: 17","17","526.8648000000001","0.1112233470916748"
"nlat: 25","25","531.2144000000001","0.111643803024292"
"nlat: 20","20","524.9756","0.11164533920288086"
"nlat: 22","22","536.5482000000001","0.11171187133789064"
"nlat: 16","16","526.7878000000001","0.14782298889160156"
"nlat: 15","15","527.4038","0.1820100914001465"
"nlat: 14","14","528.3626","0.23145605850219728"
"nlat: 12","12","527.4092","0.35472180480957033"
"nlat: 10","10","528.4978","0.5041855575561524"
"nlat: 8","8","526.8670000000001","0.699750228881836"